id,date,venue,city,country,latitude,longitude,tour,setlist
2ba4203e,04-08-2023,Hauptstrasse,Wacken,Germany,54.021,9.376,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
13a43d3d,01-08-2023,Olympiahalle,Munich,Germany,48.1374325498109,11.5754914283752,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
3ba4c8c4,31-07-2023,Olympiahalle,Munich,Germany,48.1374325498109,11.5754914283752,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
2ba4e00a,29-07-2023,Festhalle,Frankfurt,Germany,50.1166667,8.6833333,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
2ba48036,26-07-2023,Westfalenhalle,Dortmund,Germany,51.5166667,7.45,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
6ba48e96,25-07-2023,Westfalenhalle,Dortmund,Germany,51.5166667,7.45,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
7ba4aeb8,22-07-2023,Bizkaia Arena,Barakaldo,Spain,43.2956366817153,-2.99729347229004,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
3ba74018,20-07-2023,Estadio Enrique Roca de Murcia,Churra,Spain,38.0234,-1.13292,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
3ba75804,18-07-2023,Palau Sant Jordi,Barcelona,Spain,41.3887868890716,2.15898513793945,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
33a77c95,15-07-2023,Ippodromo del Galoppo di San Siro,Milan,Italy,45.4642693810258,9.1895055770874,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
